round_num,protocol,workload,num_cores,avg_latency,p50_latency,p99_latency,traffic_bytes,hit_rate,efficiency,invalidation_count,merge_count,merge_conflicts
1,MESI,RESNET50,16,120.379,127.0,138.0,645112,0.0596,0.0014853088993927513,1136,0,0
1,CRDT,RESNET50,16,2.0,2.0,2.0,316800,1.0,1.0,0,600,181
1,MESI,BERT_BASE,16,123.7118,127.0,138.0,661952,0.0334,0.0008099469896970216,982,0,0
1,CRDT,BERT_BASE,16,2.0,2.0,2.0,316800,1.0,1.0,0,600,252
1,MESI,GPT2,16,124.4353,127.0,138.0,666816,0.0287,0.0006919258441937296,1179,0,0
1,CRDT,GPT2,16,2.0,2.0,2.0,316800,1.0,1.0,0,600,319
2,MESI,RESNET50,2,84.854,127.0,132.0,448496,0.3367,0.0119039762415443,341,0,0
2,CRDT,RESNET50,2,2.0,2.0,2.0,52800,1.0,1.0,0,100,86
2,MESI,RESNET50,4,102.7947,127.0,134.0,547588,0.1947,0.005682199568654804,673,0,0
2,CRDT,RESNET50,4,2.0,2.0,2.0,316800,1.0,1.0,0,600,443
2,MESI,RESNET50,8,113.6797,127.0,136.0,608468,0.1108,0.0029240049014907675,974,0,0
2,CRDT,RESNET50,8,2.0,2.0,2.0,316800,1.0,1.0,0,600,300
2,MESI,RESNET50,16,120.2489,127.0,138.0,644700,0.0612,0.0015268330936915016,1184,0,0
2,CRDT,RESNET50,16,2.0,2.0,2.0,316800,1.0,1.0,0,600,198
3,MESI,GPT3_SCALE,16,126.9769,127.0,127.0,679868,0.0002,4.7252689268678e-06,1,0,0
3,CRDT,GPT3_SCALE,16,2.0,2.0,2.0,316800,1.0,1.0,0,600,280
3,MESI,DIFFUSION,16,126.6645,127.0,134.0,677904,0.0041,9.71069241973876e-05,145,0,0
3,CRDT,DIFFUSION,16,2.0,2.0,2.0,316800,1.0,1.0,0,600,268
3,MESI,LLAMA,16,124.7945,127.0,138.0,668104,0.0244,0.0005865643117284816,947,0,0
3,CRDT,LLAMA,16,2.0,2.0,2.0,316800,1.0,1.0,0,600,302
4,MESI,BERT_BASE,32,125.18545,127.0,143.0,1339472,0.0308,0.0007381049474998892,3811,0,0
4,CRDT,BERT_BASE,32,2.0,2.0,2.0,633600,1.0,1.0,0,1200,543
4,MESI,GPT2,32,126.0053,127.0,144.0,1349648,0.0267,0.0006356875464762197,4568,0,0
4,CRDT,GPT2,32,2.0,2.0,2.0,633600,1.0,1.0,0,1200,648
4,MESI,LLAMA,32,126.20335,127.0,144.0,1349600,0.02255,0.0005360396534640324,3681,0,0
4,CRDT,LLAMA,32,2.0,2.0,2.0,633600,1.0,1.0,0,1200,578
5,MESI,BERT_BASE,16,123.5616,127.0,138.0,661200,0.0345,0.0008376388780980499,987,0,0
5,CRDT,BERT_BASE,16,2.0,2.0,2.0,633600,1.0,1.0,0,1200,464
5,MESI,BERT_BASE,16,123.3585,127.0,138.0,660304,0.0362,0.0008803608993300016,988,0,0
5,CRDT,BERT_BASE,16,2.0,2.0,2.0,316800,1.0,1.0,0,600,212
5,MESI,BERT_BASE,16,123.4816,127.0,138.0,660888,0.0353,0.0008576176531564217,960,0,0
5,CRDT,BERT_BASE,16,2.0,2.0,2.0,158400,1.0,1.0,0,300,139
5,MESI,BERT_BASE,16,123.5411,127.0,138.0,661420,0.0351,0.0008523479230798496,1044,0,0
5,CRDT,BERT_BASE,16,2.0,2.0,2.0,63360,1.0,1.0,0,120,46
6,MESI,VIT,16,126.562,127.0,134.0,677592,0.0048,0.00011377822727200897,152,0,0
6,CRDT,VIT,16,2.0,2.0,2.0,316800,1.0,1.0,0,600,259
6,MESI,WHISPER,16,126.4749,127.0,135.0,677024,0.0061,0.00014469274140560697,218,0,0
6,CRDT,WHISPER,16,2.0,2.0,2.0,316800,1.0,1.0,0,600,301
7,MESI,MIXTRAL,16,126.5142,127.0,136.0,677136,0.006,0.0001422765191575333,239,0,0
7,CRDT,MIXTRAL,16,2.0,2.0,2.0,316800,1.0,1.0,0,600,271
7,MESI,MIXTRAL,32,126.9119,127.0,139.0,679044,0.0036,8.509840290784395e-05,267,0,0
7,CRDT,MIXTRAL,32,2.0,2.0,2.0,316800,1.0,1.0,0,600,144
7,MESI,MIXTRAL,64,127.2977,127.0,143.0,680132,0.0018,4.242024796991619e-05,261,0,0
7,CRDT,MIXTRAL,64,2.0,2.0,2.0,316800,1.0,1.0,0,600,51
8,MESI,GPT3_SCALE,32,126.98705,127.0,127.0,1359784,0.00015,3.5436684291823456e-06,3,0,0
8,CRDT,GPT3_SCALE,32,2.0,2.0,2.0,633600,1.0,1.0,0,1200,630
8,MESI,GPT3_SCALE,64,127.0041,127.0,127.0,1360032,0.0,0.0,5,0,0
8,CRDT,GPT3_SCALE,64,2.0,2.0,2.0,633600,1.0,1.0,0,1200,351
8,MESI,SAM,32,127.04073333333334,127.0,139.0,1019316,0.002266666666666667,5.352613938521556e-05,313,0,0
8,CRDT,SAM,32,2.0,2.0,2.0,475200,1.0,1.0,0,900,327
9,MESI,DIFFUSION,16,126.49293333333334,127.0,135.0,1015392,0.006,0.00014230043944483855,310,0,0
9,CRDT,DIFFUSION,16,2.0,2.0,2.0,475200,1.0,1.0,0,900,574
9,MESI,WHISPER,16,126.31706666666666,127.0,136.0,1013652,0.0084,0.00019949798285372894,468,0,0
9,CRDT,WHISPER,16,2.0,2.0,2.0,475200,1.0,1.0,0,900,603
9,MESI,SAM,16,126.5092,127.0,135.0,1015808,0.0056,0.00013279666617131402,287,0,0
9,CRDT,SAM,16,2.0,2.0,2.0,475200,1.0,1.0,0,900,469
10,MESI,RESNET50,64,125.5983,127.0,150.0,2031964,0.0326,0.0007786729597454743,9056,0,0
10,CRDT,RESNET50,64,2.0,2.0,2.0,950400,1.0,1.0,0,1800,349
10,MESI,BERT_BASE,64,127.36663333333334,127.0,150.0,2040424,0.0238,0.00056058638068212,8110,0,0
10,CRDT,BERT_BASE,64,2.0,2.0,2.0,950400,1.0,1.0,0,1800,515
10,MESI,GPT3_SCALE,64,127.01003333333334,127.0,127.0,2040092,0.0,0.0,16,0,0
10,CRDT,GPT3_SCALE,64,2.0,2.0,2.0,950400,1.0,1.0,0,1800,725
11,MESI,GPT3_SCALE,4,126.92708,127.0,127.0,1698992,0.0006,1.4181370909974452e-05,4,0,0
11,CRDT,GPT3_SCALE,4,2.0,2.0,2.0,792000,1.0,1.0,0,1500,1418
11,MESI,GPT3_SCALE,8,126.96768,127.0,127.0,1699572,0.00028,6.615856885783847e-06,8,0,0
11,CRDT,GPT3_SCALE,8,2.0,2.0,2.0,792000,1.0,1.0,0,1500,1355
